setup,metric,nli_weight,dataset,type,improvement,improvement_nli,ori,ori_nli,current
src,XMoverScore_UMD,0.9,xpaws-zh,adv,15.130338708863045,-1.541450273377143,0.720530415634869,0.8425363874687423,0.8295491080208034
src,XMoverScore_UMD,0.1,xpaws-ja,adv,7.412804414647911,-10.472959001272619,0.7705190633388694,0.924453802168578,0.8276361344817569
src,XMoverScore_UMD,0.2,xpaws-ja,adv,10.780080388814284,-7.6663824870846,0.7705190633388694,0.924453802168578,0.8535816377779384
src,XMoverScore_UMD,0.3,xpaws-ja,adv,13.275133345693014,-5.586791421738435,0.7705190633388694,0.924453802168578,0.8728064964510891
src,XMoverScore_UMD,0.4,xpaws-ja,adv,14.304111530411824,-4.729152775841994,0.7705190633388694,0.924453802168578,0.8807349695219459
src,XMoverScore_UMD,0.5,xpaws-ja,adv,15.123953700673432,-4.045826016155541,0.7705190633388694,0.924453802168578,0.8870520097331026
src,XMoverScore_UMD,0.6,xpaws-ja,adv,15.353967165872028,-3.8541130724211836,0.7705190633388694,0.924453802168578,0.8888243073307042
src,XMoverScore_UMD,0.7,xpaws-ja,adv,16.03751050847235,-3.284389442255542,0.7705190633388694,0.924453802168578,0.8940911390916233
src,XMoverScore_UMD,0.8,xpaws-ja,adv,16.28995672203788,-3.0739791226012003,0.7705190633388694,0.924453802168578,0.8960362852918229
src,XMoverScore_UMD,0.9,xpaws-ja,adv,17.855690112412947,-1.768962665791618,0.7705190633388694,0.924453802168578,0.9081005595457248
src,SentSim_new_BERTScore_src,0.1,wmt15,mt-seg,0.49252389628098303,122.88317050756064,0.5549982109015126,0.2502350035868747,0.5577317097141344
src,SentSim_new_BERTScore_src,0.2,wmt15,mt-seg,-0.9838904040649576,119.60861945156927,0.5549982109015126,0.2502350035868747,0.5495376367617204
src,SentSim_new_BERTScore_src,0.3,wmt15,mt-seg,-4.533657755551024,111.73556212165256,0.5549982109015126,0.2502350035868747,0.5298364914698067
src,SentSim_new_BERTScore_src,0.4,wmt15,mt-seg,-9.966440492042095,99.68614994609987,0.5549982109015126,0.2502350035868747,0.49968464448011507
src,SentSim_new_BERTScore_src,0.5,wmt15,mt-seg,-16.856611734887274,84.40438417484349,0.5549982109015126,0.2502350035868747,0.4614443173542738
src,SentSim_new_BERTScore_src,0.6,wmt15,mt-seg,-24.64361139128618,67.13353551001353,0.5549982109015126,0.2502350035868747,0.4182266085783529
src,SentSim_new_BERTScore_src,0.7,wmt15,mt-seg,-32.749853807667805,49.154635780808206,0.5549982109015126,0.2502350035868747,0.37323710819609535
src,SentSim_new_BERTScore_src,0.8,wmt15,mt-seg,-40.69048743332817,31.543041109817715,0.5549982109015126,0.2502350035868747,0.32916673363943644
src,SentSim_new_BERTScore_src,0.9,wmt15,mt-seg,-48.135731330247175,15.030175270563117,0.5549982109015126,0.2502350035868747,0.2878457632142819
src,SentSim_new_BERTScore_src,0.1,wmt16,mt-seg,0.21791520675809029,190.6520089593493,0.5210603035118081,0.179663569166169,0.5221957731495402
src,SentSim_new_BERTScore_src,0.2,wmt16,mt-seg,-1.3542385726445616,186.092448391424,0.5210603035118081,0.179663569166169,0.5140039038949124
src,SentSim_new_BERTScore_src,0.3,wmt16,mt-seg,-5.027804883649911,175.43837096288962,0.5210603035118081,0.179663569166169,0.49486240812508037
src,SentSim_new_BERTScore_src,0.4,wmt16,mt-seg,-10.854784679187567,158.53896350420854,0.5210603035118081,0.179663569166169,0.4645003295168801
src,SentSim_new_BERTScore_src,0.5,wmt16,mt-seg,-18.600165590723762,136.07580891304636,0.5210603035118081,0.179663569166169,0.424142224231084
src,SentSim_new_BERTScore_src,0.6,wmt16,mt-seg,-27.763644516484465,109.49988630146316,0.5210603035118081,0.179663569166169,0.3763949731282747
src,SentSim_new_BERTScore_src,0.7,wmt16,mt-seg,-37.66260945772078,80.79090706503938,0.5210603035118081,0.179663569166169,0.3248153963609413
src,SentSim_new_BERTScore_src,0.8,wmt16,mt-seg,-47.59095352469759,51.99672248483716,0.5210603035118081,0.179663569166169,0.27308273663185534
src,SentSim_new_BERTScore_src,0.9,wmt16,mt-seg,-56.98761117804415,24.74453490127173,0.5210603035118081,0.179663569166169,0.22412048374336216
src,SentSim_new_BERTScore_src,0.1,wmt17,mt-seg,0.161019994343925,129.40933521990252,0.5552610616466648,0.24242916812588053,0.5561551429767223
src,SentSim_new_BERTScore_src,0.2,wmt17,mt-seg,-1.3637303023067648,125.9170389957752,0.5552610616466648,0.24242916812588053,0.547688798292079
src,SentSim_new_BERTScore_src,0.3,wmt17,mt-seg,-4.598348197629254,118.50845289014016,0.5552610616466648,0.24242916812588053,0.5297282246262983
src,SentSim_new_BERTScore_src,0.4,wmt17,mt-seg,-9.451488411008778,107.3927946216516,0.5552610616466648,0.24242916812588053,0.5027806267542859
src,SentSim_new_BERTScore_src,0.5,wmt17,mt-seg,-15.735098877036002,93.00077964543104,0.5552610616466648,0.24242916812588053,0.4678901845708822
src,SentSim_new_BERTScore_src,0.6,wmt17,mt-seg,-23.165148573558312,75.98295413181033,0.5552610616466648,0.24242916812588053,0.4266340117450977
src,SentSim_new_BERTScore_src,0.7,wmt17,mt-seg,-31.372234409422116,57.185400893988735,0.5552610616466648,0.24242916812588053,0.3810632598026273
src,SentSim_new_BERTScore_src,0.8,wmt17,mt-seg,-39.92524603946791,37.59553736935908,0.5552610616466648,0.24242916812588053,0.33357171662287227
src,SentSim_new_BERTScore_src,0.9,wmt17,mt-seg,-48.37654321515584,18.238641174313397,0.5552610616466648,0.24242916812588053,0.28664495420223285
