setup,metric,nli_metric,nli_weight,dataset,type,improvement,improvement_nli,ori,ori_nli,current
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,paws_ori_google,adv-fact,36.49420460272131,-1.6878402903811325,0.6614444444444445,0.9183333333333334,0.9028333333333334
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,paws_ori_google,adv-fact,38.36720981017974,-0.3387779794313439,0.6614444444444445,0.9183333333333334,0.9152222222222223
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,paws_ori_google,adv-fact,38.87955652612128,0.030248033877790577,0.6614444444444445,0.9183333333333334,0.9186111111111112
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,paws_ori_google,adv-fact,38.87955652612128,0.030248033877790577,0.6614444444444445,0.9183333333333334,0.9186111111111112
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,paws_ori_google,adv-fact,38.98034604401142,0.10284331518450973,0.6614444444444445,0.9183333333333334,0.9192777777777779
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,paws_ori_google,adv-fact,39.03913992944734,0.14519056261342622,0.6614444444444445,0.9183333333333334,0.9196666666666667
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,paws_ori_google,adv-fact,39.12313119435578,0.20568663036901946,0.6614444444444445,0.9183333333333334,0.9202222222222223
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,wmt20_google-de,adv-all,13.21455085374908,-24.913835548990633,0.56125,0.84625,0.6354166666666667
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,wmt20_google-de,adv-all,27.097253155159617,-15.706548498276701,0.56125,0.84625,0.7133333333333334
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,wmt20_google-de,adv-all,37.41648106904233,-8.862629246676496,0.56125,0.84625,0.7712500000000001
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,wmt20_google-de,adv-all,43.20712694877504,-5.022156573116689,0.56125,0.84625,0.80375
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,wmt20_google-de,adv-all,46.17668893838157,-3.0526834071885824,0.56125,0.84625,0.8204166666666666
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,wmt20_google-de,adv-all,47.735708982925004,-2.018709995076318,0.56125,0.84625,0.8291666666666666
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,wmt20_google-de,adv-all,48.552338530066784,-1.4771048744460935,0.56125,0.84625,0.8337499999999999
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,wmt20_google-de,adv-all,49.5174461766889,-0.8370260955194614,0.56125,0.84625,0.8391666666666665
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,wmt20_google-de,adv-all,50.705270972531544,-0.049236829148197436,0.56125,0.84625,0.8458333333333333
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,wmt20_google-de,adv-fact,20.202020202020222,-34.49541284403668,0.495,0.9083333333333332,0.5950000000000001
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,wmt20_google-de,adv-fact,41.41414141414141,-22.935779816513758,0.495,0.9083333333333332,0.7
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,wmt20_google-de,adv-fact,57.126823793490466,-14.37308868501528,0.495,0.9083333333333332,0.7777777777777778
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,wmt20_google-de,adv-fact,65.993265993266,-9.541284403669714,0.495,0.9083333333333332,0.8216666666666667
